Id,Sentiment,Text Tweet
1,0,Jelek filmnya... apalagi si ernest gak mutu bgt actingnya... film sampah
2,0,Film king Arthur ini film paling jelek dari seluruh cerita King Arthur 
3,0,@beexkuanlin Sepanjang film gwa berkata kasar terus pada bapaknya
4,0,Ane ga suka fast and furious..menurutku kok jelek ya tu film
5,0,"@baekhyun36 kan gua ga tau film nya, lu bilang perang perangan/? Perang""an disebut ama rp yaoi jadi ambigu :v"
6,0,tolong editingnya yg bagus ya. Saya sering kecewa dgn film indonesia. Ditunggu filmnya!!
7,0,"Kecewa dgn salah satu aktornya yg ternyata pendukung penista agama. Ah, saya harus bersabar utk tak menonton film ini."
8,0,Kecewa parah sama film the guys. Dear @radityadika sorry to say this.
9,0,Banyak yg kecewa abis nonton film ini :(
10,0,#TheMummy 2017 adalah film yang paling memgecewakan saya selama hidup. Yah padahal sy udh berekspektasi tinggi dan suka bgt mesir kuno.
11,0,"film jelek, jelas. Ga ada isinya. "
12,0,awal bulan ini nonton dua film Indonesia di bioskop: kartini dan critical eleven. penggambaran kartini dan ale juga anya terlalu lemah. :( 
13,0,"Nonton film #Kartini miris , ternyata di jaman itu dan jaman sekarang bangsa kita tetap bodoh, Serakah, Gila kawin .. IRONIS !! #CelotehPagi"
14,0,"Btw Danur jelek banget, gausah ditonton Hans @hansdavidian gue kebayang lo bakal #meantweets soal film ini ntar! Lol"
15,0,"Film Kartini trlalu singkat, sehingga penonton yg mungkin blm baca biografi jelas ttg Kartini agak bingung. Saya sndiri emg blm baca bukuny."
16,0,"Habis nonton the guys, entah kenapa aku sedikit kecewa nonton film ini.. Dibanding film sebelumnya kok ini anjlok ya"
17,0,Yang udah nonton film Alien kok pada kecewa ya. Jadi ragu buat nonton.
18,0,satu-satunya kerugian nonton film action itu.. aktornya jadi keliatan jelek :p
19,0,Ini film yang bilang bagus...Kelompoknya doang. Yang kasih penghargaan juga dia2 aj. waktu nonton ternyata jelek.
20,0,"baik, kita sudahi saja. hidup terlalu singkat untuk dihabisken dengan menonton film jelek."
21,0,"Film King Arthur itu tidak jelek namun juga tidak bagus. Biasa saja, cenderung mudah dilupakan."
22,0,"Jelek ah jelek Pantas film Dimension tidak pernah dirilis, akting kamu begini ternyata /ga "
23,0,duh ini film ribet banget ...
24,0,"Dgn durasi film yg tll panjang, alur yg datar, akhirnya stlh #CriticalEleven selesai sy keluar dgn pertanyaan: ini masalahnya apa sih?"
25,0,"Banyak adegan penting yang di potong, jadinya merusak film itu sendiri "
